Date,IM,Shift,Status
2026-06-10,IM12,3,SD
2026-06-10,IM12,1,SD
2026-06-10,IM12,2,SD
2026-06-10,IM14,3,ON
2026-06-10,IM14,1,ON
2026-06-10,IM14,2,ON
2026-06-10,IM15,3,ON
2026-06-10,IM15,1,ON
2026-06-10,IM15,2,ON
2026-06-10,IM16,3,ON
2026-06-10,IM16,1,ON
2026-06-10,IM16,2,SD
2026-06-10,IM17,3,SD
2026-06-10,IM17,1,SD
2026-06-10,IM17,2,SD
2026-06-10,IM18,3,SD
2026-06-10,IM18,1,SD
2026-06-10,IM18,2,SD
2026-06-10,IM19,3,SD
2026-06-10,IM19,1,SD
2026-06-10,IM19,2,SD
2026-06-10,IM2,3,ON
2026-06-10,IM2,1,ON
2026-06-10,IM2,2,ON
2026-06-10,IM3,3,ON
2026-06-10,IM3,1,ON
2026-06-10,IM3,2,ON
2026-06-10,IM4,3,ON
2026-06-10,IM4,1,ON
2026-06-10,IM4,2,ON
2026-06-10,IM5,3,SD
2026-06-10,IM5,1,SD
2026-06-10,IM5,2,SD
2026-06-10,IM6,3,ON
2026-06-10,IM6,1,ON
2026-06-10,IM6,2,ON
2026-06-10,IM7,3,ON
2026-06-10,IM7,1,ON
2026-06-10,IM7,2,ON
2026-06-10,IM8,3,SD
2026-06-10,IM8,1,SD
2026-06-10,IM8,2,SD
2026-06-10,IM9,3,ON
2026-06-10,IM9,1,ON
2026-06-10,IM9,2,ON
2026-06-11,IM1,3,ON
2026-06-11,IM1,1,ON
2026-06-11,IM1,2,SD
2026-06-11,IM10,3,ON
2026-06-11,IM10,1,ON
2026-06-11,IM10,2,ON
2026-06-11,IM11,3,ON
2026-06-11,IM11,1,ON
2026-06-11,IM11,2,ON
2026-06-11,IM12,3,SD
2026-06-11,IM12,1,SD
2026-06-11,IM12,2,ON
2026-06-11,IM14,3,ON
2026-06-11,IM14,1,ON
2026-06-11,IM14,2,ON
2026-06-11,IM15,3,ON
2026-06-11,IM15,1,ON
2026-06-11,IM15,2,ON
2026-06-11,IM16,3,SD
2026-06-11,IM16,1,SD
2026-06-11,IM16,2,SD
2026-06-11,IM17,3,SD
2026-06-11,IM17,1,SD
2026-06-11,IM17,2,SD
2026-06-11,IM18,3,SD
2026-06-11,IM18,1,SD
2026-06-11,IM18,2,SD
2026-06-11,IM19,3,ON
2026-06-11,IM19,1,ON
2026-06-11,IM19,2,ON
2026-06-11,IM2,3,SD
2026-06-11,IM2,1,ON
2026-06-11,IM2,2,ON
2026-06-11,IM3,3,ON
2026-06-11,IM3,1,ON
2026-06-11,IM3,2,ON
2026-06-11,IM4,3,ON
2026-06-11,IM4,1,ON
2026-06-11,IM4,2,ON
2026-06-11,IM5,3,SD
2026-06-11,IM5,1,SD
2026-06-11,IM5,2,SD
2026-06-11,IM6,3,ON
2026-06-11,IM6,1,ON
2026-06-11,IM6,2,ON
2026-06-11,IM7,3,ON
2026-06-11,IM7,1,ON
2026-06-11,IM7,2,ON
2026-06-11,IM8,3,SD
2026-06-11,IM8,1,SD
2026-06-11,IM8,2,SD
2026-06-11,IM9,3,ON
2026-06-11,IM9,1,ON
2026-06-11,IM9,2,ON
2026-06-12,IM1,3,SD
2026-06-12,IM1,1,SD
2026-06-12,IM1,2,SD
2026-06-12,IM10,3,ON
2026-06-12,IM10,1,ON
2026-06-12,IM10,2,ON
2026-06-12,IM11,3,ON
2026-06-12,IM11,1,ON
2026-06-12,IM11,2,ON
2026-06-12,IM12,3,ON
2026-06-12,IM12,1,ON
2026-06-12,IM12,2,ON
2026-06-12,IM14,3,ON
2026-06-12,IM14,1,ON
2026-06-12,IM14,2,ON
2026-06-12,IM15,3,SD
2026-06-12,IM15,1,SD
2026-06-12,IM15,2,SD
2026-06-12,IM16,3,SD
2026-06-12,IM16,1,SD
2026-06-12,IM16,2,SD
2026-06-12,IM17,3,SD
2026-06-12,IM17,1,SD
2026-06-12,IM17,2,SD
2026-06-12,IM18,3,SD
2026-06-12,IM18,1,SD
2026-06-12,IM18,2,SD
2026-06-12,IM19,3,ON
2026-06-12,IM19,1,ON
2026-06-12,IM19,2,ON
2026-06-12,IM2,3,SD
2026-06-12,IM2,1,SD
2026-06-12,IM2,2,SD
2026-06-12,IM3,3,ON
2026-06-12,IM3,1,ON
2026-06-12,IM3,2,ON
2026-06-12,IM4,3,ON
2026-06-12,IM4,1,ON
2026-06-12,IM4,2,ON
2026-06-12,IM5,3,SD
2026-06-12,IM5,1,SD
2026-06-12,IM5,2,SD
2026-06-12,IM6,3,ON
2026-06-12,IM6,1,ON
2026-06-12,IM6,2,ON
2026-06-12,IM7,3,ON
2026-06-12,IM7,1,ON
2026-06-12,IM7,2,ON
2026-06-12,IM8,3,SD
2026-06-12,IM8,1,SD
2026-06-12,IM8,2,SD
2026-06-12,IM9,3,ON
2026-06-12,IM9,1,ON
2026-06-12,IM9,2,ON
2026-06-13,IM1,3,SD
2026-06-13,IM1,1,SD
2026-06-13,IM1,2,SD
2026-06-13,IM10,3,SD
2026-06-13,IM10,1,SD
2026-06-13,IM10,2,SD
2026-06-13,IM11,3,SD
2026-06-13,IM11,1,SD
2026-06-13,IM11,2,SD
2026-06-13,IM12,3,SD
2026-06-13,IM12,1,SD
2026-06-13,IM12,2,SD
2026-06-13,IM14,3,SD
2026-06-13,IM14,1,SD
2026-06-13,IM14,2,SD
2026-06-13,IM15,3,SD
2026-06-13,IM15,1,SD
2026-06-13,IM15,2,SD
2026-06-13,IM16,3,SD
2026-06-13,IM16,1,SD
2026-06-13,IM16,2,SD
2026-06-13,IM17,3,SD
2026-06-13,IM17,1,SD
2026-06-13,IM17,2,SD
2026-06-13,IM18,3,SD
2026-06-13,IM18,1,SD
2026-06-13,IM18,2,SD
2026-06-13,IM19,3,SD
2026-06-13,IM19,1,SD
2026-06-13,IM19,2,SD
2026-06-13,IM2,3,SD
2026-06-13,IM2,1,SD
2026-06-13,IM2,2,SD
2026-06-13,IM3,3,SD
2026-06-13,IM3,1,SD
2026-06-13,IM3,2,SD
2026-06-13,IM4,3,SD
2026-06-13,IM4,1,SD
2026-06-13,IM4,2,SD
2026-06-13,IM5,3,SD
2026-06-13,IM5,1,SD
2026-06-13,IM5,2,SD
2026-06-13,IM6,3,SD
2026-06-13,IM6,1,SD
2026-06-13,IM6,2,SD
2026-06-13,IM7,3,SD
2026-06-13,IM7,1,SD
2026-06-13,IM7,2,SD
2026-06-13,IM8,3,SD
2026-06-13,IM8,1,SD
2026-06-13,IM8,2,SD
2026-06-13,IM9,3,SD
2026-06-13,IM9,1,SD
2026-06-13,IM9,2,SD
2026-06-14,IM1,3,SD
2026-06-14,IM1,1,SD
2026-06-14,IM1,2,SD
2026-06-14,IM10,3,SD
2026-06-14,IM10,1,SD
2026-06-14,IM10,2,SD
2026-06-14,IM11,3,SD
2026-06-14,IM11,1,SD
2026-06-14,IM11,2,SD
2026-06-14,IM12,3,SD
2026-06-14,IM12,1,SD
2026-06-14,IM12,2,SD
2026-06-14,IM14,3,SD
2026-06-14,IM14,1,SD
2026-06-14,IM14,2,SD
2026-06-14,IM15,3,SD
2026-06-14,IM15,1,SD
2026-06-14,IM15,2,SD
2026-06-14,IM16,3,SD
2026-06-14,IM16,1,SD
2026-06-14,IM16,2,SD
2026-06-14,IM17,3,SD
2026-06-14,IM17,1,SD
2026-06-14,IM17,2,SD
2026-06-14,IM18,3,SD
2026-06-14,IM18,1,SD
2026-06-14,IM18,2,SD
2026-06-14,IM19,3,SD
2026-06-14,IM19,1,SD
2026-06-14,IM19,2,SD
2026-06-14,IM2,3,SD
2026-06-14,IM2,1,SD
2026-06-14,IM2,2,SD
2026-06-14,IM3,3,SD
2026-06-14,IM3,1,SD
2026-06-14,IM3,2,SD
2026-06-14,IM4,3,SD
2026-06-14,IM4,1,SD
2026-06-14,IM4,2,SD
2026-06-14,IM5,3,SD
2026-06-14,IM5,1,SD
2026-06-14,IM5,2,SD
2026-06-14,IM6,3,SD
2026-06-14,IM6,1,SD
2026-06-14,IM6,2,SD
2026-06-14,IM7,3,SD
2026-06-14,IM7,1,SD
2026-06-14,IM7,2,SD
2026-06-14,IM8,3,SD
2026-06-14,IM8,1,SD
2026-06-14,IM8,2,SD
2026-06-14,IM9,3,SD
2026-06-14,IM9,1,SD
2026-06-14,IM9,2,SD
2026-06-15,IM1,3,SD
2026-06-15,IM1,1,SD
2026-06-15,IM1,2,SD
2026-06-15,IM10,3,ON
2026-06-15,IM10,1,ON
2026-06-15,IM10,2,ON
2026-06-15,IM11,3,ON
2026-06-15,IM11,1,ON
2026-06-15,IM11,2,ON
2026-06-15,IM12,3,SD
2026-06-15,IM12,1,SD
2026-06-15,IM12,2,SD
2026-06-15,IM14,3,ON
2026-06-15,IM14,1,ON
2026-06-15,IM14,2,ON
2026-06-15,IM15,3,ON
2026-06-15,IM15,1,ON
2026-06-15,IM15,2,ON
2026-06-15,IM16,3,SD
2026-06-15,IM16,1,SD
2026-06-15,IM16,2,SD
2026-06-15,IM17,3,SD
2026-06-15,IM17,1,SD
2026-06-15,IM17,2,SD
2026-06-15,IM18,3,SD
2026-06-15,IM18,1,SD
2026-06-15,IM18,2,SD
2026-06-15,IM19,3,ON
2026-06-15,IM19,1,ON
2026-06-15,IM19,2,ON
2026-06-15,IM2,3,SD
2026-06-15,IM2,1,SD
2026-06-15,IM2,2,SD
2026-06-15,IM3,3,ON
2026-06-15,IM3,1,ON
2026-06-15,IM3,2,ON
2026-06-15,IM4,3,ON
2026-06-15,IM4,1,ON
2026-06-15,IM4,2,ON
2026-06-15,IM5,3,SD
2026-06-15,IM5,1,SD
2026-06-15,IM5,2,SD
2026-06-15,IM6,3,ON
2026-06-15,IM6,1,ON
2026-06-15,IM6,2,ON
2026-06-15,IM7,3,ON
2026-06-15,IM7,1,ON
2026-06-15,IM7,2,ON
2026-06-15,IM8,3,SD
2026-06-15,IM8,1,SD
2026-06-15,IM8,2,SD
2026-06-15,IM9,3,ON
2026-06-15,IM9,1,ON
2026-06-15,IM9,2,ON
2026-06-16,IM1,3,ON
2026-06-16,IM1,1,ON
2026-06-16,IM1,2,ON
2026-06-16,IM10,3,ON
2026-06-16,IM10,1,ON
2026-06-16,IM10,2,ON
2026-06-16,IM11,3,ON
